,Unnamed: 0,사업장명,도로명전체주소,위도(WGS84),경도(WGS84),카카오_카테고리,카카오_링크,평점,영업시간,구글지도링크,비고_y,통합_전화번호,카테고리1,카테고리2,카테고리3,카테고리4,mon,tue,wed,thu,fri,sat,sun,hours_compact
10,10,33떡볶이꼬마김밥,"충청남도 천안시 동남구 청수6로 35-72, 1층 (청당동)",36.78495611958294,127.15699445501484,,,,,,,,,,,,,,,,,,,
11,11,셰어버거(share burger),"충청남도 천안시 서북구 봉서산1길 37-1, 정문아케이드 106호 (쌍용동)",36.807463687041185,127.11856691421804,,,,,,,,,,,,,,,,,,,
12,12,륭국집,충청남도 천안시 서북구 쌍용14길 86 (쌍용동),36.79604895027899,127.12502741587755,음식점 > 중식 > 중국요리,http://place.map.kakao.com/1578921193,,,,,,중식,중국요리,,,,,,,,,,
13,13,골프존파크목천더블유스크린,"충청남도 천안시 동남구 목천읍 교천지산길 104, 1동 2층",36.77761208479972,127.19875466379072,"스포츠,레저 > 골프 > 골프연습장 > 스크린골프연습장 > 골프존파크",http://place.map.kakao.com/1297139751,4.3,,https://maps.google.com/?cid=4049067045422359267,,041-522-4420,골프,골프연습장,스크린골프연습장,골프존파크,,,,,,,,
14,14,면식당천안불당점,"충청남도 천안시 서북구 불당26로 100-20, 103호104호호 (불당동)",36.816630535218415,127.10783099450045,음식점 > 일식 > 면식당,http://place.map.kakao.com/1566544831,5.0,"Monday: 10:30 AM – 8:30 PM, Tuesday: 10:30 AM – 8:30 PM, Wednesday: 10:30 AM – 8:30 PM, Thursday: 10:30 AM – 8:30 PM, Friday: 10:30 AM – 8:30 PM, Saturday: 10:30 AM – 8:30 PM, Sunday: 10:30 AM – 8:30 PM",https://maps.google.com/?cid=7985115817469891090,,070-7617-9994,일식,면식당,,,(월) 10:30~20:30,(화) 10:30~20:30,(수) 10:30~20:30,(목) 10:30~20:30,(금) 10:30~20:30,(토) 10:30~20:30,(일) 10:30~20:30,"(월) 10:30~20:30, (화) 10:30~20:30, (수) 10:30~20:30, (목) 10:30~20:30, (금) 10:30~20:30, (토) 10:30~20:30, (일) 10:30~20:30"
15,15,오병이어분식,"충청남도 천안시 동남구 영성로 62, 1층 (영성동)",36.803826608959184,127.15039139952896,음식점 > 분식,http://place.map.kakao.com/2068357279,2.5,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 11:30 AM – 9:00 PM, Thursday: 11:30 AM – 9:00 PM, Friday: 11:30 AM – 9:00 PM, Saturday: 11:30 AM – 9:00 PM, Sunday: 11:30 AM – 9:00 PM",https://maps.google.com/?cid=4998905909502270001,,02-396-4385,분식,,,,(월) 11:30~21:00,(화) 11:30~21:00,(수) 11:30~21:00,(목) 11:30~21:00,(금) 11:30~21:00,(토) 11:30~21:00,(일) 11:30~21:00,"(월) 11:30~21:00, (화) 11:30~21:00, (수) 11:30~21:00, (목) 11:30~21:00, (금) 11:30~21:00, (토) 11:30~21:00, (일) 11:30~21:00"
16,16,사랑과평화,"충청남도 천안시 서북구 불당33길 48, 109호 (불당동)",36.810906151215285,127.10659570138316,,,5.0,,https://maps.google.com/?cid=11213836914713326197,,,,,,,,,,,,,,
17,17,로또닭발앤곱도리탕,"충청남도 천안시 서북구 서부1길 21, 1층 (성정동)",36.82041243089385,127.13678109748165,,,,,,,,,,,,,,,,,,,
18,18,봉명가숯불화로구이,"충청남도 천안시 서북구 쌍용대로 202, 1, 2층 (성정동)",36.815135686818806,127.13509998117114,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/959593876,4.0,,https://maps.google.com/?cid=16622870227055254487,,041-578-9573,한식,"육류,고기",,,,,,,,,,
19,19,"바른한끼(Hey,jin)","충청남도 천안시 서북구 한들1로 157, 천안마치애비뉴Ⅳ 1층 152호 (백석동)",36.83667242377069,127.11977343789104,,,,,,,,,,,,,,,,,,,
20,20,담따,"충청남도 천안시 서북구 직산읍 자은가리1길 68, 구매시설동 2층 204~206호 (우성아파트)",36.86977423788028,127.12714162578752,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1710201866,,,,,,술집,"호프,요리주점",,,,,,,,,,
21,21,아치,"충청남도 천안시 서북구 불당33길 45, 2층 204호 (불당동)",36.8111076562901,127.10707747320372,,,,,,,,,,,,,,,,,,,
22,22,삼천통닭오단지점,"충청남도 천안시 서북구 성정로 57, 1층 (성정동)",36.81400556666322,127.13659593186868,,,,,,,,,,,,,,,,,,,
23,23,은아,"충청남도 천안시 동남구 성남면 신사대화로 152, 2층",36.742175354481475,127.23656217209408,음식점 > 한식,http://place.map.kakao.com/474086782,,,,,,한식,,,,,,,,,,,
24,24,종점,"충청남도 천안시 서북구 한들2로 88-15, 1층 (백석동)",36.83077891983563,127.12116831818749,,,,,,,,,,,,,,,,,,,
25,25,밀면도락,"충청남도 천안시 서북구 불당25로 154, 더블유프라자 1층 109호 (불당동)",36.81492640029139,127.10796429072089,음식점 > 한식 > 국수,http://place.map.kakao.com/1373073580,,"Monday: 11:00 AM – 7:30 PM, Tuesday: 11:00 AM – 7:30 PM, Wednesday: 11:00 AM – 7:30 PM, Thursday: 11:00 AM – 7:30 PM, Friday: 11:00 AM – 7:30 PM, Saturday: 11:00 AM – 7:30 PM, Sunday: Closed",https://maps.google.com/?cid=6419038734387471588,,041-414-8815,한식,국수,,,(월) 11:00~19:30,(화) 11:00~19:30,(수) 11:00~19:30,(목) 11:00~19:30,(금) 11:00~19:30,(토) 11:00~19:30,(일) 휴무,"(월) 11:00~19:30, (화) 11:00~19:30, (수) 11:00~19:30, (목) 11:00~19:30, (금) 11:00~19:30, (토) 11:00~19:30, (일) 휴무"
26,26,타오타이랑 천안아산직영점,"충청남도 아산시 배방읍 고속철대로 133, 이마트 트레이더스 천안아산점 2층",36.79651097615346,127.10567972052117,,,,,,,,,,,,,,,,,,,
27,27,폴콘캠프천안,"충청남도 천안시 동남구 태조산길 220-15, 1층 (유량동)",36.81893370464528,127.18684433949718,,,,,,,,,,,,,,,,,,,
28,28,본스치킨두정점,"충청남도 천안시 서북구 두정로 117, 퓨전리더스주차빌딩 1층 116일부호 (두정동)",36.83420342193858,127.12997969069868,음식점 > 치킨 > 본스치킨,http://place.map.kakao.com/1913148943,,,,,041-414-8603,치킨,본스치킨,,,,,,,,,,
29,29,계룡산업주식회사 충남컨벤션 현장식당,,,,,,,,,,,,,,,,,,,,,,
30,30,서울뼈감자탕,"충청남도 천안시 서북구 밤개울1길 15, 1층 (차암동)",36.84014391572739,127.10203643671176,음식점,http://place.map.kakao.com/661974189,,,,,,,,,,,,,,,,,
31,31,필담베이커리카페두정점,"충청남도 천안시 서북구 두정역서3길 43, 한성빌딩 1층 105호 (두정동)",36.83470483908964,127.14825749661672,음식점 > 카페,http://place.map.kakao.com/535462437,,,,,,카페,,,,,,,,,,,
32,32,미카도스시천안불당점,"충청남도 천안시 서북구 불당23로 73-27, 1층 119, 120호 (불당동)",36.82042217655796,127.10965790044516,"음식점 > 일식 > 초밥,롤 > 미카도스시",http://place.map.kakao.com/829658506,,,,,041-567-8878,일식,"초밥,롤",미카도스시,,,,,,,,,
33,33,노티드천안갤러리아,"충청남도 천안시 서북구 공원로 227, 갤러리아 센터시티 지하1층 (불당동)",36.80045875033382,127.10468903447313,음식점 > 카페 > 테마카페 > 디저트카페 > 노티드,http://place.map.kakao.com/1042984246,,,,,,카페,테마카페,디저트카페,노티드,,,,,,,,
34,34,럭키세븐,"충청남도 천안시 동남구 대흥로 227, 2층 (대흥동)",36.808335728438074,127.147546582863,음식점 > 아시아음식 > 동남아음식,http://place.map.kakao.com/75415202,,,,,,아시아음식,동남아음식,,,,,,,,,,
35,35,마음한끼,"충청남도 천안시 동남구 중앙로 75, 1층 (오룡동)",36.80508923011033,127.15225771444813,음식점,http://place.map.kakao.com/1192820200,,,,,,,,,,,,,,,,,
36,36,소문,"충청남도 천안시 서북구 성성4길 70, 3층 (성성동)",36.84544204045485,127.1355173984956,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/148961998,,,,,010-5690-9992,한식,"육류,고기",,,,,,,,,,
37,37,드림푸드,"충청남도 천안시 동남구 통정3로 44, 1층 (신방동)",36.77485419452316,127.13023953395845,,,,,https://maps.google.com/?cid=1018201012921425151,,,,,,,,,,,,,,
38,38,캔디포차,"충청남도 천안시 서북구 입장면 성진로 754, 1층",36.91280750824013,127.21487798090118,,,,,,,,,,,,,,,,,,,
39,39,육회바른연어신불당시청점,"충청남도 천안시 서북구 불당21로 71, 정석프라자3차 1층 118호 (불당동)",36.81295910084932,127.10817628632648,,,,,,,,,,,,,,,,,,,
40,40,두시야들조선족발(성정봉명동),"충청남도 천안시 서북구 서부대로 648-13, 상가1동 1층 9호 (성정동, 주공6단지아파트)",36.825454189502,127.13402987299418,,,,,,,,,,,,,,,,,,,
41,41,화육우소두정점,"충청남도 천안시 서북구 오성4길 3, 윤경빌딩 1층 (두정동)",36.83058553411901,127.13240566846436,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/305362983,,,,,041-558-8880,한식,"육류,고기",,,,,,,,,,
42,42,타이밍,"충청남도 천안시 동남구 청수10길 42-1, 1층 (삼룡동)",36.78258887446808,127.16382600399146,,,,,,,,,,,,,,,,,,,
43,43,메가혼밥,"충청남도 천안시 서북구 늘푸른5길 26, 두정라이프종합상가 1층 106일부호 (두정동)",36.82721653655944,127.1301542287062,,,,,,,,,,,,,,,,,,,
44,44,담솥천안성성점,"충청남도 천안시 서북구 성성2길 81-1, 지1층 (성성동)",36.84651830518787,127.12870734669896,음식점 > 한식,http://place.map.kakao.com/1517566348,,,https://maps.google.com/?cid=7604790672719367391,,041-562-0908,한식,,,,,,,,,,,
45,45,유가네찜닭신불당점,"충청남도 천안시 서북구 불당21로 67-8, 지하1층 B021호 (불당동)",36.81329364078375,127.10828724723824,"음식점 > 한식 > 육류,고기 > 닭요리 > 유가네닭갈비",http://place.map.kakao.com/1943812157,,,,,041-900-3025,한식,"육류,고기",닭요리,유가네닭갈비,,,,,,,,
46,46,사또수구레국밥,"충청남도 천안시 서북구 봉정로 137, 1층 (성정동)",36.81446311198841,127.14155837014292,,,,,,,,,,,,,,,,,,,
47,47,진심왕돈까스성성점,"충청남도 천안시 서북구 성성6로 2-1, 1층 (성성동)",36.839846289464504,127.12236461782187,,,3.4,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 11:00 AM – 9:00 PM, Sunday: 11:00 AM – 9:00 PM",https://maps.google.com/?cid=13505558222123792162,,050-71437-1158,,,,,(월) 11:00~21:00,(화) 11:00~21:00,(수) 11:00~21:00,(목) 11:00~21:00,(금) 11:00~21:00,(토) 11:00~21:00,(일) 11:00~21:00,"(월) 11:00~21:00, (화) 11:00~21:00, (수) 11:00~21:00, (목) 11:00~21:00, (금) 11:00~21:00, (토) 11:00~21:00, (일) 11:00~21:00"
48,48,명태어장,"충청남도 천안시 동남구 수신면 수신로 722, 1동 1층",36.7525542962507,127.29403280225225,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/225851885,4.1,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 9:00 PM",https://maps.google.com/?cid=6020299582442305038,,041-555-5520,한식,"해물,생선",,,(월) 10:00~22:00,(화) 10:00~22:00,(수) 10:00~22:00,(목) 10:00~22:00,(금) 10:00~22:00,(토) 10:00~22:00,(일) 10:00~21:00,"(월) 10:00~22:00, (화) 10:00~22:00, (수) 10:00~22:00, (목) 10:00~22:00, (금) 10:00~22:00, (토) 10:00~22:00, (일) 10:00~21:00"
49,49,홍어랑보쌈,"충청남도 천안시 서북구 서부19길 16, 1층 (성정동)",36.824780018153255,127.13885257754124,음식점,http://place.map.kakao.com/1705730711,,,,,,,,,,,,,,,,,
50,50,대구뭉티기,"충청남도 천안시 서북구 성정공원6길 51, 1층 (성정동)",36.82872758087528,127.14373835350423,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/1568725265,5.0,,https://maps.google.com/?cid=17173074320532851840,,041-564-9292,한식,"육류,고기",,,,,,,,,,
51,51,아르망디,"충청남도 천안시 서북구 성정공원2길 45, 지2층 (성정동)",36.82963842576796,127.14287174350812,,,,,https://maps.google.com/?cid=7066088046752297874,,,,,,,,,,,,,,
52,52,빽다방천안청당벽산점,"충청남도 천안시 동남구 청당2길 99, 1층 103호 (청당동)",36.78018273714517,127.15404479143668,음식점 > 카페 > 커피전문점 > 빽다방,http://place.map.kakao.com/1228168337,,"Monday: 8:00 AM – 9:00 PM, Tuesday: 8:00 AM – 9:00 PM, Wednesday: 8:00 AM – 9:00 PM, Thursday: 8:00 AM – 9:00 PM, Friday: 8:00 AM – 9:00 PM, Saturday: 8:00 AM – 9:00 PM, Sunday: 8:00 AM – 9:00 PM",https://maps.google.com/?cid=11896345054602476630,,070-5220-2200,카페,커피전문점,빽다방,,(월) 08:00~21:00,(화) 08:00~21:00,(수) 08:00~21:00,(목) 08:00~21:00,(금) 08:00~21:00,(토) 08:00~21:00,(일) 08:00~21:00,"(월) 08:00~21:00, (화) 08:00~21:00, (수) 08:00~21:00, (목) 08:00~21:00, (금) 08:00~21:00, (토) 08:00~21:00, (일) 08:00~21:00"
53,53,최배달우쫄돈성정점,"충청남도 천안시 서북구 오성로 120, 1층 113호 (성정동)",36.82969102196897,127.14077389844736,,,,,,,,,,,,,,,,,,,
54,54,고기와국수,"충청남도 천안시 서북구 성거읍 봉주로 311-1, 1층",36.87919890994715,127.18114209974289,,,,,,,,,,,,,,,,,,,
55,55,제이호프,"충청남도 천안시 동남구 목천읍 신계5길 3, 2층",36.77579035698138,127.21723068433134,,,4.0,,https://maps.google.com/?cid=14503795522374688541,,041-533-3331,,,,,,,,,,,,
56,56,마라민족입장점,"충청남도 천안시 서북구 입장면 입장로 121, 상가동 2층 202호 (입장연합초원아파트)",36.9118806844638,127.22017600708796,음식점 > 중식 > 중국요리,http://place.map.kakao.com/1223241404,,,,,041-588-7988,중식,중국요리,,,,,,,,,,
57,57,정성집,"충청남도 천안시 서북구 밤개울2길 1-8, 1층 (차암동)",36.840357172437685,127.10263774590982,,,,,,,,,,,,,,,,,,,
58,58,사모님포차,"충청남도 천안시 동남구 먹거리8길 30, 1층 (신부동)",36.81711170149633,127.15626820149716,,,,,,,,,,,,,,,,,,,
59,59,청원식당부대찌개를끓이다,"충청남도 천안시 서북구 두정상가4길 32-4, 1층 (두정동)",36.83264675516332,127.14299225411722,,,,,,,,,,,,,,,,,,,
60,60,드슈피자,"충청남도 천안시 서북구 쌍용대로 119, 1층 (쌍용동)",36.80814041421254,127.1324773316602,음식점 > 양식 > 피자,http://place.map.kakao.com/1685574409,,"Monday: 10:00 AM – 2:30 AM, Tuesday: 10:00 AM – 2:30 AM, Wednesday: 10:00 AM – 2:30 AM, Thursday: 10:00 AM – 2:30 AM, Friday: 10:00 AM – 2:30 AM, Saturday: 10:00 AM – 2:30 AM, Sunday: 10:00 AM – 2:30 AM",https://maps.google.com/?cid=3756449955508719061,,041-592-8848,양식,피자,,,(월) 10:00~02:30,(화) 10:00~02:30,(수) 10:00~02:30,(목) 10:00~02:30,(금) 10:00~02:30,(토) 10:00~02:30,(일) 10:00~02:30,"(월) 10:00~02:30, (화) 10:00~02:30, (수) 10:00~02:30, (목) 10:00~02:30, (금) 10:00~02:30, (토) 10:00~02:30, (일) 10:00~02:30"
61,61,오리굽방천안점,"충청남도 천안시 서북구 백석로 210, 성정빌딩 1층 (성정동)",36.81867608817949,127.13287113947963,,,,,,,,,,,,,,,,,,,
62,62,마니국밥성거점,"충청남도 천안시 서북구 성거읍 성거산단2로 21-2, 1층",,,,,,,,,,,,,,,,,,,,,
63,63,왕십리용비네 한우곱창,"충청남도 천안시 동남구 풍세면 풍세산단로 290, 상가동 지하1층 B176호 (천안 한양수자인 에코시티)",36.72298610708323,127.1052201212228,,,4.3,"Monday: 4:00 – 11:55 PM, Tuesday: 4:00 – 11:55 PM, Wednesday: 4:00 – 11:55 PM, Thursday: 4:00 – 11:55 PM, Friday: 4:00 – 11:55 PM, Saturday: 4:00 – 11:55 PM, Sunday: Closed",https://maps.google.com/?cid=14579731547117350023,,041-544-9697,,,,,(월) 04:00~23:55,(화) 04:00~23:55,(수) 04:00~23:55,(목) 04:00~23:55,(금) 04:00~23:55,(토) 04:00~23:55,(일) 휴무,"(월) 04:00~23:55, (화) 04:00~23:55, (수) 04:00~23:55, (목) 04:00~23:55, (금) 04:00~23:55, (토) 04:00~23:55, (일) 휴무"
64,64,청학골,"충청남도 천안시 서북구 미라6길 40, 링스골프웨어 1층 (쌍용동)",36.80179577326005,127.131348741957,,,,,,,,,,,,,,,,,,,
65,65,불당쭉삼이,"충청남도 천안시 서북구 검은들3길 5, 105호 (불당동)",36.810623090839805,127.110825293218,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/1166522008,,,,,0503-7151-7693,한식,"해물,생선",,,,,,,,,,
66,66,카페나날,"충청남도 천안시 동남구 봉정로 73, 1층 (봉명동)",36.80884128638882,127.14026709395858,,,5.0,,https://maps.google.com/?cid=12337314532395653305,,031-662-1566,,,,,,,,,,,,
67,67,투엠푸드,"충청남도 천안시 서북구 월봉로 132, 타워프라자 1층 105호 (쌍용동)",36.80235800496459,127.11909160480654,,,,,,,,,,,,,,,,,,,
68,68,돼지와도토리,"충청남도 천안시 서북구 서부대로 737, 필레오 1층 101호 (두정동)",36.83296837964104,127.13302279080914,,,4.1,"Monday: 10:30 AM – 9:30 PM, Tuesday: 10:30 AM – 9:30 PM, Wednesday: 10:30 AM – 9:30 PM, Thursday: 10:30 AM – 9:30 PM, Friday: 10:30 AM – 9:30 PM, Saturday: 10:30 AM – 9:30 PM, Sunday: 10:30 AM – 9:30 PM",https://maps.google.com/?cid=8650792298929259651,,031-676-2292,,,,,(월) 10:30~21:30,(화) 10:30~21:30,(수) 10:30~21:30,(목) 10:30~21:30,(금) 10:30~21:30,(토) 10:30~21:30,(일) 10:30~21:30,"(월) 10:30~21:30, (화) 10:30~21:30, (수) 10:30~21:30, (목) 10:30~21:30, (금) 10:30~21:30, (토) 10:30~21:30, (일) 10:30~21:30"
69,69,더홀릭,"충청남도 천안시 서북구 오성로 71, 3층 307일부호 (두정동)",36.83060713933326,127.13510377350022,"스포츠,레저 > 스포츠시설 > 헬스클럽",http://place.map.kakao.com/1851281527,,,,,,스포츠시설,헬스클럽,,,,,,,,,,
70,70,빨간오뎅떡튀순,"충청남도 천안시 서북구 불당25로 178, 1층 103호 (불당동)",36.81698043293254,127.10860418574214,,,,,,,,,,,,,,,,,,,
71,71,돈짱,"충청남도 천안시 서북구 성거읍 성거산단2로 21-1, 1동 1층",,,,,,,,,,,,,,,,,,,,,
72,72,유성닭발딜리버리천안점,"충청남도 천안시 서북구 성정공원5로 63, 리치프라자2 2층 203일부호 (성정동)",36.827877104759935,127.14456383977164,"음식점 > 한식 > 육류,고기 > 닭요리",http://place.map.kakao.com/208871431,,,,,,한식,"육류,고기",닭요리,,,,,,,,,
73,73,송돈가풍세점,"충청남도 천안시 동남구 풍세면 풍세산단4로 12-8, 1층",36.72540694186261,127.10376617361185,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/305137350,,,https://maps.google.com/?cid=5311374679668700618,,041-415-0492,한식,"육류,고기",,,,,,,,,,
74,74,피자닭터천안2호점,"충청남도 천안시 서북구 쌍용9길 12, 1층 (쌍용동, 리오빌)",36.80196330070521,127.12093289755244,음식점 > 양식 > 피자 > 피자닭터,http://place.map.kakao.com/923863274,,,,,041-577-0715,양식,피자,피자닭터,,,,,,,,,
75,75,수아꼬마김밥,"충청남도 천안시 서북구 한들3로 85-85, 백석메디컬 센터 1층 113호 (백석동)",36.83082019203692,127.12309637755864,음식점 > 분식,http://place.map.kakao.com/826562004,,,,,041-904-7745,분식,,,,,,,,,,,
76,76,불닭발땡초동대문엽기떡볶이천안청당점,"충청남도 천안시 동남구 청수14로 60, 서미법조타워 1층 101,102일부호 (청당동)",36.78410677143849,127.15297313611474,,,,,,,,,,,,,,,,,,,
77,77,숙자매반찬,"충청남도 천안시 동남구 청수로 78, 1층 (청수동)",36.78994139202549,127.15518731372836,"가정,생활 > 식품판매 > 반찬가게",http://place.map.kakao.com/750572691,,,,,041-565-2836,식품판매,반찬가게,,,,,,,,,,
78,78,가장맛있는치킨쌍용점,"충청남도 천안시 동남구 다가말2길 70, 111동 1층 1101호 (다가동, 일봉산 해피트리)",36.79720060492258,127.140039042146,음식점 > 치킨,http://place.map.kakao.com/917287906,,,,,,치킨,,,,,,,,,,,
79,79,처가집삽교곱창,"충청남도 천안시 동남구 통정5로 67, 1층 109호 (신방동)",36.7751029245101,127.13374357778778,"음식점 > 한식 > 육류,고기 > 곱창,막창",http://place.map.kakao.com/689411442,,,,,041-573-9282,한식,"육류,고기","곱창,막창",,,,,,,,,
80,80,비비큐천안신방점,"충청남도 천안시 동남구 수곡로 67, 1층 111호 (신방동)",36.78879776038192,127.12700953950277,,,,,,,,,,,,,,,,,,,
81,81,토리키치천안성성점,"충청남도 천안시 서북구 성성6로 129, 301동 104호 (성성동, 천안 성성 비스타동원)",36.8426687871334,127.13438306953104,음식점 > 술집 > 일본식주점 > 토리키치,http://place.map.kakao.com/1395327344,,,,,,술집,일본식주점,토리키치,,,,,,,,,
82,82,진선뷔페,"충청남도 천안시 동남구 목천읍 충절로 702, 2동 2층",36.767781152679234,127.19019458857468,음식점 > 뷔페 > 한식뷔페,http://place.map.kakao.com/1198795573,,,,,041-417-5190,뷔페,한식뷔페,,,,,,,,,,
83,83,한끼를담다천안본점,"충청남도 천안시 동남구 통정10로 43-20, 1층 (신방동)",36.77312337573726,127.13283064689536,음식점 > 패스트푸드 > 샌드위치,http://place.map.kakao.com/1438181661,,,,,041-414-8784,패스트푸드,샌드위치,,,,,,,,,,
84,84,경북관,"충청남도 천안시 서북구 원두정7길 17, 1층 (두정동)",36.83218633127724,127.13600593055716,,,5.0,,https://maps.google.com/?cid=92342183516704765,,043-855-0407,,,,,,,,,,,,
85,85,신세계푸드,"충청남도 천안시 동남구 신부12길 29-2, 1층 (신부동)",36.81829152118497,127.16156577429898,,,,,,,,,,,,,,,,,,,
86,86,리아시카고피자,"충청남도 천안시 서북구 서부1길 21, 1층 (성정동)",36.82041243089385,127.13678109748165,음식점 > 패스트푸드,http://place.map.kakao.com/1635812277,,,,,,패스트푸드,,,,,,,,,,,
87,87,집밥같은한식뷔페백석대점,"충청남도 천안시 동남구 백석대학로 1-19, 백석대학교생활관 1층 (안서동)",36.83992150802663,127.18576937216348,,,,,,,,,,,,,,,,,,,
88,88,불당휴게소,"충청남도 천안시 서북구 검은들3길 58, 메가클래스 블루 1층 108호 (불당동)",36.80993991572214,127.10983307133176,음식점 > 한식,http://place.map.kakao.com/129852071,,,https://maps.google.com/?cid=15376489206289848067,,,한식,,,,,,,,,,,
89,89,준바레,"충청남도 천안시 서북구 오성로 72, 하나빌딩 1층 (성정동)",36.83015852686381,127.13526300837812,음식점 > 일식,http://place.map.kakao.com/658920455,,,,,0502-5552-6024,일식,,,,,,,,,,,
90,90,천안밸리커피숍,충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 지하1층,36.88550674736131,127.15944023826285,,,,,,,,,,,,,,,,,,,
91,91,덕담,"충청남도 천안시 동남구 풍세면 풍세산단4로 12-8, 1층",36.72540694186261,127.10376617361185,,,,,,,,,,,,,,,,,,,
92,92,커피방앗간,"충청남도 천안시 서북구 서부15길 41, 1층 101호 (성정동, 대우성정프라자아파트)",36.82201865539699,127.14194228739515,,,4.8,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: Closed",https://maps.google.com/?cid=12096441945476630714,,070-7721-1001,,,,,(월) 11:00~22:00,(화) 11:00~22:00,(수) 11:00~22:00,(목) 11:00~22:00,(금) 11:00~22:00,(토) 11:00~22:00,(일) 휴무,"(월) 11:00~22:00, (화) 11:00~22:00, (수) 11:00~22:00, (목) 11:00~22:00, (금) 11:00~22:00, (토) 11:00~22:00, (일) 휴무"
